"a","spatZ","trueZ.mean","trueZ.ciLo","trueZ.ciHi","randZ.mean","randZ.ciLo","randZ.ciHi","site"
1953.125,0.357112455810429,0.998,0.000733525650366486,4.66980056357365,41204.7170017691,0.41457903601749,67265.0253996066,"BCIS"
7812.5,0.161205325906688,0.998,0.00174004112848111,4.48525045031964,175927.873057797,0.372572840802697,263883.81751282,"BCIS"
31250,0.0239835098507953,0.998,0.000853378376653068,5.03774111757335,449965.547908525,0.0012843387910696,662391.198030581,"BCIS"
125000,2.23453649668272,0.998,0.00347021622768685,4.89847745650514,992804.635453597,1.33390837936259,1360963.89994437,"BCIS"
5e+05,7.65027621026302,0.998,0.000671478165186093,5.41306386331504,1880463.02276254,1899457.52339848,1899457.52339848,"BCIS"
117.1875,0.0203802863740297,0.998,0.00153804750889197,4.47830468017393,138.29784557696,0.00257474226051694,209.886876934454,"COCO"
468.75,0.0158654591503465,0.998,0.00172013995296133,5.28378073767413,2014.42430580531,0.00426672008109606,2988.08126678044,"COCO"
1875,0.00652947866972275,0.998,0.000931609778136128,4.59368453712326,18667.5705033356,0.189476901985596,27401.8959993444,"COCO"
7500,0.872823008826438,0.998,0.000574435323683751,4.80644555429885,58406.7780349016,0.921145713885393,93037.1036679084,"COCO"
30000,1.78305067405312,0.998,0.00226980800947046,4.63369306104011,221092.630374325,223325.871131199,223325.871131199,"COCO"
